Hyperparameter,No Mask (Baseline),GA Evolved Mask,Random Mask (Control)
learning_rate,0.002146385137578536,0.0010927159763666227,0.0010927159763666227
dropout_1,0.38090022363163806,0.16775727351607025,0.16775727351607025
dropout_2,0.14942585490944932,0.3440874100478203,0.3440874100478203
dense_units,832,960,960
l2_reg,1.787753934560751e-05,0.0007565311865382789,0.0007565311865382789
optimizer,adam,adam,adam
validation_accuracy,0.7821999788284302,0.79339998960495,0.7491999864578247
