Setup,Mask Mode,Train Generators,Test Generators,Sparsity,Accuracy,Balanced Accuracy,F1 Score,Loss,JPEG_Q75_Accuracy,JPEG_Q50_Accuracy,JPEG_Q30_Accuracy
In-Distribution,NONE,"ADM,glide,wukong","ADM,glide,wukong",1.0,0.9832000136375427,0.9832000136375427,0.9832535982131958,0.08208014816045761,,0.7026000022888184,0.675599992275238
In-Distribution,GA,"ADM,glide,wukong","ADM,glide,wukong",0.1644117534160614,0.9842000007629395,0.9842000007629395,0.9840629696846008,0.08688356727361679,,0.5961999893188477,0.5594000220298767
In-Distribution,RANDOM,"ADM,glide,wukong","ADM,glide,wukong",0.1644117534160614,0.9846000075340271,0.9846000075340271,0.9845350384712219,0.09285454452037811,,0.6535999774932861,0.6358000040054321
Cross-Generator,NONE,"ADM,glide,wukong","sdv4,vqdm",1.0,0.7767999768257141,0.7768000364303589,0.7559055685997009,0.7550137639045715,,0.6233999729156494,0.6078000068664551
Cross-Generator,GA,"ADM,glide,wukong","sdv4,vqdm",0.1644117534160614,0.7864000201225281,0.7863999605178833,0.7539170384407043,0.6532273292541504,,0.6061999797821045,0.5813999772071838
Cross-Generator,RANDOM,"ADM,glide,wukong","sdv4,vqdm",0.1644117534160614,0.7749999761581421,0.7749999761581421,0.7181158065795898,1.3029836416244507,,0.5123999714851379,0.5041999816894531
